facet,macro_f1_all,macro_f1_without_long,change,distribution_shift
research_type,0.3313,0.3204,-0.0109,0.0286
contribution_type,0.3714,0.2952,-0.0762,0.0332
evaluation_method,0.3941,0.3785,-0.0156,0.0377
