,Case Study,Discussion,Example,Experience Report,Experiment,Rigorous Analysis
Case Study,22,1,2,1,0,1
Discussion,5,13,1,3,0,2
Example,6,7,3,1,0,2
Experience Report,13,4,1,4,0,0
Experiment,3,5,0,0,0,4
Rigorous Analysis,6,4,3,1,0,5
