facet,macro_f1,accuracy,classes_with_zero_f1,cluster_ari,cluster_nmi
research_type,0.2787,0.3984,1,0.0136,0.0525
contribution_type,0.3851,0.439,1,0.0169,0.0371
evaluation_method,0.2908,0.3821,1,0.046,0.0629
