,precision,recall,f1-score,support
Evaluation Research,0.0,0.0,0.0,14.0
Experience Papers,0.5,0.1333,0.2105,15.0
Opinion Papers,0.25,0.0556,0.0909,18.0
Philosophical Papers,0.5152,0.7083,0.5965,24.0
Solution Proposal,0.4167,0.2273,0.2941,22.0
Validation Research,0.3429,0.8,0.48,30.0
accuracy,0.3984,0.3984,0.3984,0.3984
macro avg,0.3374,0.3207,0.2787,123.0
weighted avg,0.3562,0.3984,0.325,123.0
