facet,model,best_params,macro_f1
research_type,LogisticRegression,"{'C': 10.0, 'class_weight': None}",0.4658
research_type,LinearSVC,"{'C': 10.0, 'class_weight': None}",0.4707
research_type,RandomForestClassifier,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.3566
contribution_type,LogisticRegression,"{'C': 10.0, 'class_weight': 'balanced'}",0.4466
contribution_type,LinearSVC,"{'C': 1.0, 'class_weight': 'balanced'}",0.4262
contribution_type,RandomForestClassifier,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.4042
evaluation_method,LogisticRegression,"{'C': 1.0, 'class_weight': 'balanced'}",0.3833
evaluation_method,LinearSVC,"{'C': 0.1, 'class_weight': 'balanced'}",0.4058
evaluation_method,RandomForestClassifier,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.3483
