n_neighbors,in_umap,in_embedding
2,0.7743789553642273,-0.0005142681766301394
3,0.5747777819633484,0.023987963795661926
4,0.8293108344078064,0.04625629261136055
5,0.47130873799324036,0.023229938000440598
8,0.4074840843677521,0.014130579307675362
11,0.3977695107460022,0.047545529901981354
15,0.39017507433891296,0.0464666523039341
25,0.34957531094551086,0.03905694931745529
40,0.34688201546669006,0.04698197916150093
60,0.3282080590724945,0.04852520674467087
