,Case Study,Discussion,Example,Experience Report,Experiment,Rigorous Analysis
Case Study,16,0,1,5,2,3
Discussion,2,14,4,4,0,0
Example,1,3,7,2,2,4
Experience Report,8,3,0,9,0,2
Experiment,2,1,2,0,6,1
Rigorous Analysis,2,3,3,1,1,9
