k,silhouette,inertia
2,0.0669,54.2207
3,0.0383,51.7517
4,0.0375,50.1245
5,0.0356,49.291
6,0.0391,47.8601
7,0.0228,46.8017
8,0.0487,46.2307
9,0.0502,45.0525
10,0.0385,44.7838
11,0.0377,43.0399
12,0.0301,42.8055
13,0.0279,42.0393
14,0.0313,41.2758
15,0.0453,40.1983
